Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
13,9,2962.5,4.452834524684393,0.41277168329060254,12.0,2.761274962339508,1.589235205116581,1,0.509,3
0,2,2621.5,4.428850581389771,0.7183274790902435,2.1,1.9530276168241774,1.6798963760826617,2,0.432,6
5,6,2934.0,4.5976419195673,0.49652383905513103,5.027,2.8226875535402454,1.406587064387653,1,0.864,2
2,1,3000.0,4.189427443468793,0.5624688569178292,1.651,2.472243475834603,1.3630257341805363,2,0.094,8
10,0,3035.5,4.09016919081162,0.4180522236136358,3.8,2.460443177609626,1.552870507664608,2,0.133,5
12,3,3127.5,3.3072529354856135,0.7183274790902435,4.02,1.9786538878671436,1.552870507664608,2,0.607,6
1,3,2922.0,4.092275757052989,0.520577915208669,2.449,2.5729556826709374,1.552870507664608,1,0.844,1
10,1,3080.5,4.6155164780422355,0.5888971591861462,1.28,2.290107571482933,1.6875094478542558,2,0.183,7
1,3,2933.5,4.036997895369548,0.5038010088290262,5.612,2.488649636066835,1.552870507664608,1,0.333,2
10,7,3078.5,4.6155164780422355,0.5888971591861462,1.28,2.290107571482933,1.6875094478542558,2,0.183,9
1,3,2920.5,4.16050676447577,0.5007752879124893,2.083,2.82633681364617,1.552870507664608,1,0.911,2
13,8,2967.0,4.296468746312235,0.4836599556932212,6.2,2.7634849079903105,1.410986973710262,1,0.263,3
11,2,2762.5,4.569024739351738,0.4399748806466976,1.7,3.1048108685802283,1.4788735424129837,1,0.385,3
13,2,2803.0,4.445165739585168,0.43272640514353883,4.3,2.5668705876394307,1.2950011026734998,1,0.161,2
12,9,2980.5,3.1480240838962494,0.6846108495376588,0.1,2.2369793358960517,1.552870507664608,2,0.931,8
7,9,2891.0,4.480740107609915,0.49956243148727997,12.4,2.563024429051952,1.5260563034950492,1,0.933,2
12,8,3008.0,4.195094465322244,0.7060634058264916,1.6,1.7774914974303502,1.7047480922384253,2,0.015,4
7,1,3024.0,4.265324264887739,0.5001690435774618,3.398,2.7135019797804554,1.3635373739972745,1,0.714,2
7,8,2882.0,4.168369197570074,0.4855078157817008,6.2,2.5356789751614235,1.3862943611198906,1,0.75,2
1,3,2925.5,4.230404006629197,0.2507587183471831,6.988,3.1048108685802283,1.552870507664608,1,0.689,3
0,0,2932.5,3.865560131017805,0.5353230953663781,4.4,2.556839639333308,1.552870507664608,2,0.215,6
1,4,2624.5,4.010238052925101,0.4007875185570533,4.6,2.580216829592325,1.4816045409242156,1,0.472,2
2,2,2667.5,4.038038726011006,0.6483771073109151,-0.9,2.060513531794317,1.523226215615035,2,0.4,6
11,9,2937.0,4.6155164780422355,0.30306317449008324,4.3,3.10436243807944,1.589235205116581,1,0.176,3
10,7,3068.0,3.6635616461296463,0.23507212217948356,3.576,2.8247660007981708,1.552870507664608,2,0.533,9
11,4,2758.5,3.709906821306012,0.31554040058017735,-0.9,3.022860940942244,1.5686159179138452,1,0.833,3
0,2,2621.0,4.444343940738743,0.7183274790902435,0.8,1.9878743481543455,1.670156647468806,2,0.455,6
4,0,2982.5,3.1480240838962494,0.5911144549947938,0.6,2.3646204839134985,1.552870507664608,2,0.55,8
0,6,2905.5,4.385146762010125,0.5134222496132567,1.088,2.910664461163927,1.501852701754163,1,1.0,8
3,2,2655.0,4.038109251603009,0.49408629976169266,2.9,3.0373539482448106,1.3018252044934406,1,0.273,1
3,4,2672.0,4.331391018705302,0.48427628853245414,0.3,3.0610517396746335,1.3862943611198906,1,0.923,3
0,9,2827.5,4.525802250604519,0.6318035503188933,3.9,2.203869120054888,1.552870507664608,2,0.481,6
13,0,3046.5,4.486949554600661,0.41607528722017995,12.0,2.743739043510717,1.552870507664608,1,0.66,2
0,1,2936.0,3.9207448592400156,0.5866749360494286,-1.4,2.5332999098045734,1.754576678100339,2,0.804,8
12,4,2828.0,4.6155164780422355,0.7183274790902435,6.3,2.2353763433005955,1.6094379124341003,2,0.441,6
4,5,2939.5,3.4232849781261603,0.4983481022548781,-1.4,2.2407096892759584,1.5686159179138452,2,0.222,6
13,1,3095.0,4.271444175034904,0.5164100020598913,-1.4,3.1048108685802283,1.414152689248287,1,0.441,2
0,9,2828.0,4.6155164780422355,0.647626665258136,5.2,2.063693184711697,1.552870507664608,2,0.463,6
12,3,3115.0,3.1480240838962494,0.7183274790902435,6.218,1.9474803442248305,1.552870507664608,2,0.893,8
1,6,2864.5,4.401375727766422,0.2866815721181974,3.078,2.8816673172660185,1.4126928349744217,1,0.5,2
9,5,2964.5,4.132603274339191,0.46561903092791146,2.2,2.2823823856765264,1.4350845252893227,1,0.35,2
11,8,2932.0,4.2250803842111555,0.33002291294130587,4.3,2.5668705876394307,1.2950011026734998,1,0.25,3
3,2,2648.0,3.9568433956996136,0.3653833999250172,2.5,2.2874714551839976,1.471554205070714,1,0.485,1
4,4,2720.5,3.501344330267094,0.6010318916521397,2.9,2.21375387928743,1.754576678100339,2,0.158,6
0,3,2980.0,4.274288294230091,0.7183274790902435,3.686,1.9236645401079937,1.552870507664608,2,0.071,6
7,4,2730.0,4.45457982735559,0.23507212217948356,5.4,3.0252910757955354,1.2950011026734998,1,0.543,3
2,4,2692.5,3.899950424193877,0.6585557357903263,0.9,1.9671123567059163,1.5260563034950492,2,0.783,6
1,3,2933.0,4.058821006153054,0.48427628853245414,6.217,2.43951694748919,1.552870507664608,1,0.356,2
0,0,2909.0,3.5281236752345424,0.23507212217948356,8.6,2.2273226084934987,1.552870507664608,2,0.938,6
13,9,2964.5,4.559754322457609,0.38594244161930047,12.3,3.079613757534693,1.589235205116581,1,0.439,3
13,9,2968.5,4.484583222998974,0.3947411447451887,12.1,2.8252404685136137,1.5686159179138452,1,0.298,2
2,0,2958.0,3.1480240838962494,0.6951451832226183,4.3,2.1096069560115622,1.552870507664608,2,0.81,8
10,1,3054.0,3.552658734202645,0.4953058121079539,1.365,1.7774914974303502,1.754576678100339,1,0.167,8
0,9,2828.5,4.6155164780422355,0.6626879730752367,5.9,1.9579798731426437,1.552870507664608,2,0.444,6
12,5,3033.5,3.7350471349589434,0.7178397931503169,1.4,2.0541237336955462,1.589235205116581,2,0.775,6
12,0,3110.5,4.6155164780422355,0.35767444427181594,4.3,2.8936995479888394,1.552870507664608,1,0.207,2
1,0,2893.0,4.536784273121627,0.42264993286226527,7.6,2.884241897520628,1.552870507664608,1,0.718,3
4,3,3031.5,4.006041442200649,0.6866259635696798,8.797,2.1489093003899984,1.552870507664608,2,0.045,6
8,1,3051.0,3.996474441897595,0.4706284340145776,6.364,2.7430311699974554,1.4701758451005926,2,0.071,6
6,4,2739.5,3.261935314328648,0.5933268452777344,-0.7,2.2353763433005955,1.7227665977411035,2,0.667,8
2,3,2998.0,3.1480240838962494,0.49408629976169266,0.715,2.1777585600472005,1.552870507664608,2,0.865,8
0,5,2874.5,4.07753744390572,0.5323914016805512,1.8,2.4423470353692043,1.4586150226995167,2,0.341,6
4,1,3011.5,3.585267408990227,0.6302073807860711,0.492,2.6552821355635543,1.754576678100339,2,0.7,9
12,8,3004.0,4.307437777682809,0.6911451778892722,8.4,2.432735777459091,1.6863989535702288,2,0.119,4
12,3,3115.5,3.1480240838962494,0.7183274790902435,5.392,1.7774914974303502,1.552870507664608,2,0.881,8
8,6,2988.0,3.1480240838962494,0.6054082662519386,-0.616,2.018097911438784,1.552870507664608,2,0.7,8
5,2,2677.5,4.213918585694496,0.5687402389469539,9.5,2.2460147415056513,1.5748464676644813,1,0.704,2
1,7,2902.0,4.177612831405111,0.38594244161930047,10.2,2.4794752597907936,1.552870507664608,2,0.256,9
0,1,2933.0,4.284455150045912,0.5721088521828892,3.478,3.1048108685802283,1.2950011026734998,2,0.87,3
13,0,3048.5,4.557554332046428,0.47436908675537554,11.9,2.6796507265805123,1.552870507664608,1,0.585,2
12,8,2993.5,3.803769419987892,0.6259384308664953,1.9,2.2736710828294036,1.4816045409242156,2,0.418,6
2,3,3009.0,3.3646025511926005,0.6533663105481007,5.557,2.486363920785979,1.552870507664608,2,0.27,8
12,8,2996.5,4.6155164780422355,0.6339278208999741,3.6,2.278292400425001,1.589235205116581,2,0.328,5
9,4,2754.0,4.383400690227026,0.4762341789963716,7.0,2.928523523860541,1.4350845252893227,1,0.01,3
5,0,2973.5,4.6155164780422355,0.38730113748049316,6.4,3.1048108685802283,1.552870507664608,1,0.391,3
12,0,3077.5,3.885062823845363,0.6491952930307625,6.6,2.0731719286662407,1.552870507664608,2,0.759,6
4,1,3017.0,4.6155164780422355,0.24451357705040225,5.916,3.0882658749569236,1.3994573476461716,2,0.333,7
2,5,2911.5,3.6087534096346516,0.4542552722775964,7.3,2.2669579153508947,1.547562508716013,2,0.632,7
0,5,2860.0,4.539350844950798,0.6652619770704097,5.3,2.256541154492639,1.5686159179138452,2,0.695,4
1,6,2864.0,4.389039487041668,0.30527638085273207,2.152,2.721624321129328,1.4279160358107101,1,0.523,2
1,3,2923.5,4.039817976200732,0.5888971591861462,0.101,2.7312131891286375,1.552870507664608,1,0.778,1
13,3,3093.0,4.226746150190967,0.4285303810391605,9.574,2.826544095149999,1.552870507664608,1,0.974,3
9,2,2721.0,4.381463976411405,0.39523078495966824,5.8,3.091042453358316,1.4736181892915656,1,0.02,2
0,8,2813.0,4.304200219209375,0.7183274790902435,5.3,2.1083933636296037,1.7404661748405046,2,0.674,6
1,2,2581.0,4.429709042650776,0.47861756132760686,11.3,2.642622395779755,1.4300719834657785,1,0.803,2
5,2,2690.0,3.932492077267486,0.4657290455917073,10.8,2.4423470353692043,1.5020753941056009,1,0.241,5
10,3,3085.5,4.2506928255928464,0.4668737362368079,6.013,2.5619834249674267,1.552870507664608,2,0.319,7
1,5,2828.0,4.336244442018754,0.49956243148727997,9.3,2.5217206229107165,1.4586150226995167,1,0.907,3
12,8,2975.0,3.3968546322280186,0.5429055172294023,8.8,2.373043556642607,1.6094379124341003,2,0.97,8
10,9,2948.0,4.6155164780422355,0.45362014999521144,5.0,2.262804222982201,1.7404661748405046,2,0.05,4
9,5,2963.0,4.210645017918261,0.4737466155245699,4.5,2.4553061800117097,1.410986973710262,1,0.5,2
12,0,3104.5,4.6155164780422355,0.5294510878891555,10.0,2.8428724269096555,1.552870507664608,2,0.31,4
10,1,3086.0,4.6155164780422355,0.4637340162321401,5.83,2.5867108492430493,1.4852343089747944,2,0.017,6
0,9,2822.5,4.015662040187632,0.5469646703818639,12.4,2.4561641809223462,1.6863989535702288,2,0.685,6
12,6,3041.0,3.72494616015033,0.5469646703818639,3.199,2.418410658499636,1.4199708874792745,2,0.848,5
13,3,3098.0,4.228452871731403,0.5394130806179033,12.4,2.7764562337662704,1.552870507664608,1,0.684,3
0,9,2836.5,4.366278277705742,0.6227247162633995,11.3,2.47232786758114,1.7404661748405046,2,0.13,6
2,5,2911.0,3.5409593240373143,0.4681268692328754,6.0,2.388762789235098,1.5260563034950492,2,0.658,7
9,0,3004.0,3.9437154521606357,0.5687171021817683,5.6,2.1966688674024963,1.552870507664608,1,0.958,2
10,2,2777.0,4.6155164780422355,0.39799234577251735,4.0,2.8678989020441064,1.4657984622324896,1,1.0,8
10,6,3003.0,4.6155164780422355,0.25851069515150105,5.154,2.4976583337131633,1.552870507664608,2,0.583,8
9,2,2730.0,4.088712062770396,0.23507212217948356,2.6,2.9231615807191558,1.3747277247484253,1,0.696,1
9,8,2900.5,4.144720769547168,0.47436908675537554,0.7,2.7880929087757464,1.3609765531356006,1,0.938,2
3,2,2639.5,4.31402880368418,0.5762244280039186,11.0,2.6390573296152584,1.5460720368122804,1,0.742,2
1,2,2595.0,4.054511661720377,0.49408629976169266,2.8,3.0492730404820207,1.2950011026734998,1,0.395,1
0,3,2979.0,4.300084207007773,0.7183274790902435,6.822,2.103402179124679,1.552870507664608,2,0.095,5
12,0,3090.0,4.448048430215879,0.6307397204313283,10.1,2.2648832258100344,1.552870507664608,2,0.552,6
2,4,2699.5,3.9636662385799846,0.714908672341458,1.7,1.7774914974303502,1.7227665977411035,2,0.174,8
12,2,2816.5,3.333525066428284,0.6755948868727387,1.3,2.0731719286662407,1.7371272735749899,2,0.75,8
1,9,2812.0,4.6155164780422355,0.4434029474485566,12.4,3.051403470924452,1.4350845252893227,1,0.106,3
0,3,2948.0,3.917408477704484,0.555033878430311,12.105,2.2813103827151906,1.552870507664608,2,0.833,5
3,2,2650.0,3.9382753765722116,0.23507212217948356,5.1,2.6844403354630764,1.409278197510266,1,0.424,1
1,0,2902.0,4.177612831405111,0.38594244161930047,10.2,2.4794752597907936,1.552870507664608,2,0.256,9
2,1,2996.0,4.588156266628832,0.6906440503418267,1.975,1.9506133573258813,1.7471107175591731,2,0.344,8
7,2,2708.0,4.236798530017034,0.41807858205492576,2.0,2.5494451709255714,1.4259957279714426,1,0.54,1
1,2,2604.0,4.338714563317313,0.23507212217948356,5.1,2.847812143477369,1.329988524908796,1,0.145,2
0,4,2661.0,3.9627161197436642,0.6189622823705687,3.8,2.4069451083182885,1.547562508716013,2,0.284,6
3,4,2676.5,4.1892000932347795,0.5515836162381584,4.6,2.833213344056216,1.33500106673234,1,0.692,2
12,4,2812.5,3.5040547671018634,0.7183274790902435,3.6,1.8870696490323797,1.667706820558076,2,0.897,6
11,4,2759.5,4.196600262926448,0.29490591754110057,-1.4,3.1048108685802283,1.2950011026734998,1,0.667,3
0,3,2970.0,3.9804290380922063,0.5855619698800079,9.133,2.4977817422573048,1.552870507664608,2,0.31,4
4,4,2714.5,3.1480240838962494,0.5833323145527387,-1.4,2.4973291697865574,1.552870507664608,2,0.737,8
1,2,2574.5,4.6155164780422355,0.4885928067613936,12.0,2.740840023925201,1.4733890679708244,1,0.974,2
13,9,2949.0,4.6155164780422355,0.4180522236136358,7.5,2.9223548037492155,1.5260563034950492,1,0.982,3
12,0,3097.0,4.258445572902527,0.5618988939499913,4.4,2.615934912194404,1.552870507664608,2,0.44,4
12,0,3078.5,3.893044038830343,0.6523251860396903,6.5,2.083806999189476,1.552870507664608,2,0.75,6
13,6,3017.0,4.6155164780422355,0.353469812989784,7.422,2.900762035962764,1.4772770088317615,1,0.816,3
10,8,2936.5,3.475067230228611,0.23507212217948356,3.8,3.1048108685802283,1.3862943611198906,2,0.833,7
7,8,2887.0,4.150567353318379,0.3060130291365044,7.7,2.7917784166329227,1.3862943611198906,1,0.523,2
12,6,3037.0,3.4208039113010735,0.5726730270920708,2.348,2.270784780444248,1.3754861624032872,2,0.92,5
10,1,3058.0,4.6155164780422355,0.3400373027857091,6.206,2.884241897520628,1.4749918158811777,2,0.867,7
12,9,3018.5,3.1986731175506815,0.5370779949100565,0.3,2.5877640352277083,1.552870507664608,2,0.176,9
13,4,2808.5,4.337552144572052,0.4737466155245699,3.9,3.1048108685802283,1.552870507664608,1,0.018,3
7,4,2725.0,4.6155164780422355,0.29490591754110057,-0.2,2.5668705876394307,1.2950011026734998,1,0.829,3
0,4,2643.5,4.157788734778635,0.5515836162381584,11.1,2.529720665577793,1.5686159179138452,2,0.806,6
0,5,2870.5,4.288127958229824,0.48427628853245414,5.2,2.766319109226186,1.4586150226995167,2,0.439,4
11,8,2930.5,4.37462430490712,0.38390093019232385,-1.4,2.5668705876394307,1.2950011026734998,1,0.4,3
1,8,2797.5,4.506233438128068,0.3285840637722067,8.5,3.0231042203498415,1.2950011026734998,1,0.258,1
10,6,2996.5,3.396486301932036,0.23507212217948356,1.619,2.9083208165430214,1.754576678100339,2,0.944,8
10,6,2996.0,3.606692783125989,0.23507212217948356,2.117,2.8917042031299434,1.754576678100339,2,0.972,8
7,5,2943.0,4.121148764974151,0.521171915820135,4.0,2.341805806147327,1.4816045409242156,1,0.905,3
5,8,2858.0,4.258728418329388,0.5318040301511824,4.3,2.5668705876394307,1.552870507664608,1,0.971,3
3,8,2842.0,3.9837853716550367,0.4637340162321401,2.2,2.3869262414277967,1.4350845252893227,1,0.367,1
3,9,2849.5,4.534962290944595,0.4061315526513249,11.2,2.979348794303467,1.5040773967762742,1,0.513,3
7,2,2719.0,4.605819974829588,0.35050938608982696,4.3,3.1048108685802283,1.2950011026734998,1,0.1,2
0,2,2627.0,4.354179990852224,0.7183274790902435,1.9,2.0347056478384444,1.7249071622402146,2,0.182,6
0,5,2883.5,4.01096295328305,0.6184236343640088,2.7,1.864080130807681,1.7047480922384253,2,0.122,6
1,6,2860.5,4.195320479562103,0.3784364357202451,3.922,2.671386216730619,1.2950011026734998,1,0.682,3
9,8,2907.0,4.165113633110308,0.29713723122253605,0.1,2.8084986723990157,1.33500106673234,1,0.667,1
3,1,2978.5,4.200025026690847,0.6344581842112657,2.794,2.304782676537533,1.4469189829363254,1,0.583,2
2,5,2906.0,3.1480240838962494,0.6103089022509408,1.5,2.2027647577118348,1.7227665977411035,2,0.921,8
1,8,2784.0,4.380400312929297,0.41012091964435843,8.5,2.5824869781268642,1.3609765531356006,1,0.694,2
7,5,2950.5,4.3056854014171595,0.4180522236136358,7.0,2.5726122302071057,1.4350845252893227,1,0.19,2
7,4,2723.5,4.420405647542997,0.3555743384946993,4.3,3.1048108685802283,1.4586150226995167,1,0.914,3
1,8,2803.0,4.0980045230535875,0.3235317253454782,2.1,3.054708478654288,1.3862943611198906,1,0.081,2
7,2,2720.0,4.544145484150317,0.382623459260328,-1.4,2.5668705876394307,1.3498896792260908,1,0.06,3
9,8,2904.5,4.106108429142343,0.3336110043401807,0.8,2.6996819514316934,1.3609765531356006,1,0.771,1
9,4,2745.5,4.376260039779544,0.44916296337388373,6.9,2.513656063073986,1.4586150226995167,1,0.739,3
1,4,2629.0,4.381401439279963,0.2978798974282269,7.3,2.7631695003232895,1.410986973710262,1,0.302,2
7,4,2731.0,4.373238128640803,0.23507212217948356,5.5,3.0373539482448106,1.2950011026734998,1,0.486,3
12,8,2983.5,3.5186840771178223,0.4731237565819792,2.0,2.3105532626432224,1.4586150226995167,2,0.716,7
1,9,2807.0,4.513602992462601,0.29713723122253605,11.5,3.055415275715165,1.410986973710262,1,0.34,2
12,2,2831.5,3.625353753234058,0.6959479771647787,-0.7,2.2460147415056513,1.7401152360757166,2,0.309,8
12,3,3113.5,3.1480240838962494,0.49408629976169266,5.801,1.9491192799962618,1.552870507664608,2,0.929,8
10,4,2779.0,4.519721224155608,0.49041881398832804,1.9,2.145931282948669,1.7047480922384253,2,0.111,6
2,5,2920.0,3.6490985841020915,0.5235443961737654,-1.4,2.583997552432231,1.667706820558076,2,0.184,8
4,4,2716.5,3.2311995745570328,0.6291418505840329,-1.4,2.2617630984737906,1.754576678100339,2,0.526,8
4,3,3032.0,4.133549249605944,0.6015799870344548,11.41,2.3017847728232765,1.552870507664608,2,0.01,5
10,6,3007.0,4.589426908372132,0.23507212217948356,2.51,2.8557228005456525,1.7526720805200082,2,0.361,8
0,3,2961.0,3.808416506139376,0.7183274790902435,6.492,2.129896985168329,1.552870507664608,2,0.524,6
12,5,3042.5,3.9047969603364066,0.6626879730752367,4.1,2.060513531794317,1.62924053973028,2,0.573,6
1,0,2905.5,4.413767520457944,0.24607852259670565,12.4,3.0418999543989984,1.552870507664608,1,0.077,2
2,5,2921.0,4.2367118035090225,0.521171915820135,-1.4,2.2353763433005955,1.62924053973028,2,0.132,6
0,0,2908.5,3.426865128410733,0.23507212217948356,8.1,2.307572634505085,1.552870507664608,2,0.954,7
11,9,2930.5,4.243051882383293,0.4382549309311553,9.9,2.6634014494333282,1.5260563034950492,1,0.941,3
12,4,2841.0,3.7386215460087504,0.49041881398832804,12.4,2.4553061800117097,1.4350845252893227,2,0.044,8
12,4,2828.5,4.6155164780422355,0.7183274790902435,6.4,2.2300144001592104,1.667706820558076,2,0.426,4
12,4,2819.5,4.018003328965378,0.714908672341458,3.9,1.864080130807681,1.6863989535702288,2,0.691,6
1,2,2580.5,4.46007504737018,0.4838557817708175,11.6,2.6602595372658615,1.4286352016094155,1,0.816,2
4,9,2888.0,3.811318301306514,0.6971392018294827,5.5,1.7774914974303502,1.552870507664608,2,0.25,8
5,6,2940.5,4.2350191315048695,0.45488999143568737,3.046,2.3515657152156675,1.5100594684538216,1,0.273,1
4,7,2915.5,3.193393900853509,0.37156355643248307,-1.0,2.509599262378372,1.552870507664608,2,0.444,9
12,8,2996.0,4.394202210604015,0.6333971761541713,3.0,2.2444261788205138,1.5686159179138452,2,0.343,5
5,8,2864.5,4.164803025870662,0.49286529838899784,9.2,2.448415541205585,1.5040773967762742,1,0.588,2
3,8,2834.0,4.070905330488338,0.5721088521828892,2.6,2.6019486702196644,1.6486586255873816,1,0.694,3
12,8,2987.5,3.616308761279101,0.6486726904581158,2.6,2.255493485460195,1.4816045409242156,2,0.597,6
7,9,2890.5,4.4389975309335075,0.521171915820135,12.4,2.510411940196362,1.6094379124341003,1,0.967,2
12,6,3054.5,4.189427443468793,0.636576829071551,3.504,2.1993334631835713,1.6140273647679075,2,0.607,4
12,0,3117.5,4.15997623565093,0.5068176023684519,-1.4,2.3389170222414357,1.552870507664608,2,0.069,8
2,3,3008.5,3.2591728816327374,0.7183274790902435,5.007,2.3648554187201705,1.552870507664608,2,0.297,8
12,9,2988.5,3.709172157381699,0.598836501088704,2.3,1.951608170169951,1.667706820558076,2,0.775,5
1,2,2581.5,4.447322681316543,0.47176416733868376,10.3,2.6210388241125804,1.4160958523566805,1,0.789,2
1,2,2604.5,4.417297248755801,0.23507212217948356,5.1,2.8419981736119486,1.3289300437303198,1,0.132,2
1,0,2900.5,4.28524036598619,0.3987761199573678,7.5,2.6304489550786583,1.552870507664608,1,0.333,3
1,4,2617.0,4.6155164780422355,0.39406706315579504,11.3,2.8183982582710754,1.4586150226995167,1,0.755,2
3,8,2828.5,4.378771341953209,0.4259211166755467,4.3,2.5668705876394307,1.2950011026734998,1,0.918,3
12,5,3055.0,4.218624962732438,0.6086780239334952,4.0,2.1972245773362196,1.6486586255873816,2,0.292,6
10,6,3000.0,4.053418395609455,0.23507212217948356,0.772,2.9119157874608805,1.754576678100339,2,0.75,8
12,0,3100.0,4.261411467315905,0.5187937934151675,6.7,2.7219531062712017,1.552870507664608,2,0.388,4
0,2,2622.5,4.322316438392951,0.7183274790902435,5.5,2.0347056478384444,1.6686497720659463,2,0.386,5
10,4,2768.0,3.1480240838962494,0.23507212217948356,3.5,2.8820035082256483,1.7047480922384253,2,0.722,7
13,0,3041.0,4.548811452318707,0.37156355643248307,10.1,2.9732310082074775,1.552870507664608,1,0.868,3
2,1,2987.5,3.187756605809331,0.588342066193819,-0.468,1.893563668683104,1.7032924879057245,2,0.875,8
4,3,3027.0,3.65759516407417,0.7183274790902435,3.934,2.1762279041175234,1.552870507664608,2,0.455,8
11,5,2978.5,4.5208098373700185,0.29416103854949005,12.4,3.0469005601283903,1.4586150226995167,1,0.385,3
3,5,2897.5,3.930648469551311,0.5134222496132567,1.0,2.2617630984737906,1.410986973710262,1,0.419,2
1,6,2867.5,4.2404342680939955,0.2677344346420849,4.007,2.9138712470736707,1.3368414774003603,1,0.364,2
5,3,3018.0,4.064177408305528,0.6307397204313283,9.794,2.604983349281507,1.552870507664608,1,0.429,3
1,1,2922.5,4.276666119016055,0.5181983780954038,1.003,2.7580459874234498,1.3315741489196578,1,0.5,1
9,6,2979.0,4.541303439159624,0.4983481022548781,5.413,2.6317449448921355,1.4312677267626217,1,0.625,2
1,0,2894.0,4.490993140925692,0.42199441005937494,2.9,2.7930039069823738,1.552870507664608,1,0.667,2
3,5,2895.0,4.131961425793407,0.5318040301511824,6.7,2.4553061800117097,1.5260563034950492,1,0.581,3
13,3,3098.5,4.213193696060482,0.530039842689795,12.4,2.813430716560039,1.552870507664608,1,0.658,3
